
SetupTitle, TFT sat RollOut
PrimitiveTest, I/V Sweep
DataValue, 1.9000000000000001, 7, 3.26752E-05, -1.1960000000000002E-12, -3.2660800000000004E-05, 5.8475740058498139E-06, 1.1960000000000002E-12, 3.26752E-05
DataValue, 2, 7, 3.55077E-05, 1.1000000000000001E-13, -3.5488400000000004E-05, 5.9043822570439137E-06, 1.1000000000000001E-13, 3.55077E-05
DataValue, 2.1, 7, 3.8467300000000004E-05, 8.050000000000001E-13, -3.84451E-05, 5.9597219207273021E-06, 8.050000000000001E-13, 3.8467300000000004E-05
DataValue, 2.2, 7, 4.15649E-05, -1.109E-12, -4.15656E-05, 6.0708518535763639E-06, 1.109E-12, 4.15649E-05
DataValue, 2.3000000000000003, 7, 4.48228E-05, 6.07E-13, -4.48133E-05, 6.1366126223719162E-06, 6.07E-13, 4.48228E-05
DataValue, 2.4, 7, 4.81987E-05, 3.4900000000000003E-13, -4.82074E-05, 6.2085713012566138E-06, 3.4900000000000003E-13, 4.81987E-05
DataValue, 2.5, 7, 5.1743900000000004E-05, -1.1790000000000001E-12, -5.1743900000000004E-05, 6.3292916686176466E-06, 1.1790000000000001E-12, 5.1743900000000004E-05
DataValue, 2.6, 7, 5.54383E-05, -5.7500000000000007E-13, -5.5439E-05, 6.3996198778864646E-06, 5.7500000000000007E-13, 5.54383E-05
DataValue, 2.7, 7, 5.92788E-05, 3.5700000000000004E-13, -5.92805E-05, 6.469838762888303E-06, 3.5700000000000004E-13, 5.92788E-05
DataValue, 2.8000000000000003, 7, 6.32726E-05, -4.93E-13, -6.33011E-05, 6.597316634305443E-06, 4.93E-13, 6.32726E-05
DataValue, 2.9, 7, 6.7453E-05, -3.3700000000000003E-13, -6.744E-05, 6.6442146036511324E-06, 3.3700000000000003E-13, 6.7453E-05
DataValue, 3, 7, 7.17398E-05, 4.2600000000000005E-13, -7.1758700000000008E-05, 6.7133386326267418E-06, 4.2600000000000005E-13, 7.17398E-05
DataValue, 3.1, 7, 7.6233500000000008E-05, 6.6E-13, -7.62927E-05, 6.86575763182179E-06, 6.6E-13, 7.6233500000000008E-05
DataValue, 3.2, 7, 8.08918E-05, 3.14E-13, -8.0949100000000007E-05, 6.9480749425637406E-06, 3.14E-13, 8.08918E-05
DataValue, 3.3000000000000003, 7, 8.57173E-05, -8.6000000000000012E-14, -8.57652E-05, 7.0121722291034375E-06, 8.6000000000000012E-14, 8.57173E-05
DataValue, 3.4, 7, 9.06989E-05, 1.0800000000000001E-13, -9.075290000000001E-05, 7.0792369958940886E-06, 1.0800000000000001E-13, 9.06989E-05
DataValue, 3.5, 7, 9.58539E-05, -5.66E-13, -9.59095E-05, 7.1897387752579678E-06, 5.66E-13, 9.58539E-05
DataValue, 3.6, 7, 0.00010120100000000001, -3.7000000000000004E-13, -0.00010124, 7.2753177675435235E-06, 3.7000000000000004E-13, 0.00010120100000000001
DataValue, 3.7, 7, 0.00010670800000000001, 1.09E-12, -0.00010675800000000001, 7.3253697378851494E-06, 1.09E-12, 0.00010670800000000001
DataValue, 3.8000000000000003, 7, 0.000112385, -6.08E-13, -0.00011245100000000001, 7.4084981236089552E-06, 6.08E-13, 0.000112385
DataValue, 3.9, 7, 0.000118251, 2.9900000000000004E-13, -0.000118344, 7.51350374225668E-06, 2.9900000000000004E-13, 0.000118251
DataValue, 4, 7, 0.00012430900000000002, 1.5600000000000002E-13, -0.000124382, 7.5814551263220439E-06, 1.5600000000000002E-13, 0.00012430900000000002
DataValue, 4.1, 7, 0.000130531, -6.6700000000000009E-13, -0.00013063000000000002, 7.6499046284203813E-06, 6.6700000000000009E-13, 0.000130531
DataValue, 4.2, 7, 0.00013695000000000002, 3.76E-13, -0.000137081, 7.79029174370111E-06, 3.76E-13, 0.00013695000000000002
DataValue, 4.3, 7, 0.00014359800000000002, 2.82E-13, -0.000143738, 7.8920614919365173E-06, 2.82E-13, 0.00014359800000000002
DataValue, 4.4, 7, 0.000150416, 7.3E-13, -0.00015056500000000002, 7.929728230184586E-06, 7.3E-13, 0.000150416
DataValue, 4.5, 7, 0.00015741300000000002, 4.4900000000000006E-13, -0.00015756, 8.0026375079887162E-06, 4.4900000000000006E-13, 0.00015741300000000002
DataValue, 4.6000000000000005, 7, 0.00016461400000000002, -9.9300000000000011E-13, -0.000164771, 8.0857812129088814E-06, 9.9300000000000011E-13, 0.00016461400000000002
DataValue, 4.7, 7, 0.000172007, -4.24E-13, -0.00017224500000000002, 8.2363174468369958E-06, 4.24E-13, 0.000172007
DataValue, 4.8, 7, 0.00017967200000000002, -2.2100000000000002E-13, -0.000179908, 8.3360773857801226E-06, 2.2100000000000002E-13, 0.00017967200000000002
DataValue, 4.9, 7, 0.00018748700000000002, -7.99E-13, -0.00018775, 8.3755605077783E-06, 7.99E-13, 0.00018748700000000002
DataValue, 5, 7, 0.000195524, 2.223E-12, -0.000195799, 8.4733013339346E-06, 2.223E-12, 0.000195524
DataValue, 5.1000000000000005, 7, 0.00020376900000000002, -7.9100000000000006E-13, -0.000204038, 8.5181954108923781E-06, 7.9100000000000006E-13, 0.00020376900000000002
DataValue, 5.2, 7, 0.00021218900000000002, -7.25E-13, -0.00021256600000000002, 8.6556000611005444E-06, 7.25E-13, 0.00021218900000000002
DataValue, 5.3, 7, 0.000220914, 1.4340000000000002E-12, -0.00022128500000000002, 8.788520834630515E-06, 1.4340000000000002E-12, 0.000220914
DataValue, 5.4, 7, 0.000229814, -9.1800000000000013E-13, -0.00023031400000000002, 8.877391402993334E-06, 9.1800000000000013E-13, 0.000229814
DataValue, 5.5, 7, 0.000238983, 4.7E-13, -0.00023946600000000003, 9.0061487879607913E-06, 4.7E-13, 0.000238983
DataValue, 5.6000000000000005, 7, 0.000248372, 1.406E-12, -0.000248861, 9.0693506501129487E-06, 1.406E-12, 0.000248372
DataValue, 5.7, 7, 0.000257968, -6.9200000000000008E-13, -0.000258634, 9.2261831934358588E-06, 6.9200000000000008E-13, 0.000257968
DataValue, 5.8, 7, 0.000267889, -6.4900000000000006E-13, -0.00026855900000000003, 9.3932842149224265E-06, 6.4900000000000006E-13, 0.000267889
DataValue, 5.9, 7, 0.00027803400000000003, 1.82E-13, -0.00027875, 9.4900382446941469E-06, 1.82E-13, 0.00027803400000000003
DataValue, 6, 7, 0.000288437, -4.5400000000000003E-13, -0.000289273, 9.6552256408211E-06, 4.5400000000000003E-13, 0.000288437
DataValue, 6.1000000000000005, 7, 0.000299145, -6.37E-13, -0.000299996, 9.8118946004367352E-06, 6.37E-13, 0.000299145
DataValue, 6.2, 7, 0.00031010900000000004, 1.4920000000000001E-12, -0.00031111, 9.898247658375174E-06, 1.4920000000000001E-12, 0.00031010900000000004
DataValue, 6.3, 7, 0.000321307, 5.21E-13, -0.00032237600000000003, 1.0062523154362422E-05, 5.21E-13, 0.000321307
DataValue, 6.4, 7, 0.000332856, -4.5000000000000005E-13, -0.000334149, 1.0392529758574241E-05, 4.5000000000000005E-13, 0.000332856
DataValue, 6.5, 7, 0.000344837, 8.8100000000000008E-13, -0.00034616700000000004, 1.0540885639299758E-05, 8.8100000000000008E-13, 0.000344837
DataValue, 6.6000000000000005, 7, 0.00035697100000000004, -3.9300000000000004E-13, -0.00035855100000000003, 1.080459886067993E-05, 3.9300000000000004E-13, 0.00035697100000000004
DataValue, 6.7, 7, 0.000369685, -6.32E-13, -0.000371251, 1.1138382487106197E-05, 6.32E-13, 0.000369685
DataValue, 6.8, 7, 0.00038263900000000005, 9.51E-13, -0.000384441, 1.1352215014051218E-05, 9.51E-13, 0.00038263900000000005
DataValue, 6.9, 7, 0.00039605200000000004, 1.2920000000000002E-12, -0.00039808300000000003, 1.1728920793873568E-05, 1.2920000000000002E-12, 0.00039605200000000004
DataValue, 7, 7, 0.000409905, -6.6600000000000009E-13, -0.000412102, 1.190632906390646E-05, 6.6600000000000009E-13, 0.000409905
